4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持ちます | Asia,rank next,come after,-ous
559A (喚): エール,泣く,コール,悲鳴,サモン | yell,cry,call,scream,summon
582A (堪): 耐えます,耐える,サポート,抵抗します | withstand,endure,support,resist
59E6 (姦): 邪悪,いたずら,誘惑します,レイプ,うるさい | wicked,mischief,seduce,rape,noisy
5B8C (完): パーフェクト,完了,終わり | perfect,completion,end
5B98 (官): 官僚,政府,器官 | bureaucrat,the government,organ
5BDB (寛): トレラント,寛大,寛大さ,リラックス,くつろぐ,楽になります,心の広いです | tolerant,leniency,generosity,relax,feel at home,be at ease,broadminded
5E72 (干): ドライ,パッチ,引き潮,退きます,干渉する,仲裁します | dry,parch,ebb,recede,interfere,intercede
5E79 (幹): 木の幹 | tree trunk
60A3 (患): 苦しめ,疾患,苦しみます,病みます | afflicted,disease,suffer from,be ill
611F (感): 感情,感じ,感覚 | emotion,feeling,sensation
6163 (慣): 慣れて,慣れます,経験豊富になります | accustomed,get used to,become experienced
61BE (憾): 自責の念,後悔,残念です | remorse,regret,be sorry
63DB (換): 交換,期間,変化する,変換,置き換える,更新します | interchange,period,change,convert,replace,renew
6562 (敢): 大胆,勇敢な,大胆な,悲しい,悲劇的な,哀れな | daring,brave,bold,sad,tragic,pitiful
67D1 (柑): 柑橘類,オレンジ | citrus,orange
6853 (桓): マーキングポスト | marking post
68FA (棺): 棺,キャスケット | coffin,casket
6B3E (款): のれん,記事,セクション,友情,共謀 | goodwill,article,section,friendship,collusion
6B53 (歓): 喜び,喜び | delight,joy
6C57 (汗): 汗,汗をかきます | sweat,perspire
6F22 (漢): Sino-,中国 | Sino-,China
6F97 (澗): 谷川,10 ** 36 | valley river,10**36
6F45 (潅): 注ぎます,かんがいします,（涙を流します,流れ込みます,集中する | pour into,irrigate,shed (tears,flow into,concentrate on
74B0 (環): リング,サークル,リンク,ホイール | ring,circle,link,wheel
7518 (甘): 甘い,同軸ケーブル,甘やかす,満足しています,甘いです | sweet,coax,pamper,be content,sugary
76E3 (監): 監督します,公式,ガバメントオフィス,ルール,管理します | oversee,official,govt office,rule,administer
770B (看): 見守る,見る | watch over,see
7AFF (竿): ポール,ロッド,スケールビーム,棹 | pole,rod,scale beam,violin neck
7BA1 (管): パイプ,チューブ,管楽器,酔っ話,コントロール,管轄 | pipe,tube,wind instrument,drunken talk,control,jurisdiction
7C21 (簡): 単純,簡潔 | simplicity,brevity
7DE9 (緩): 緩みます,緩む,リラックス,減少させます,中程度であること,楽 | slacken,loosen,relax,lessen,be moderate,ease
7F36 (缶): 缶詰,コンテナ,jarファイルラジカル（NO。121） | tin can,container,jar radical (no. 121)
7FF0 (翰): 文字,筆 | letter,writing brush
809D (肝): 肝,摘みます,神経,厚かましさ | liver,pluck,nerve,chutzpah
8266 (艦): 軍艦 | warship
839E (莞): にこやか,リードは畳をカバーするために使用されます | smiling,reed used to cover tatami
89B3 (観): 見通し,見ます,外観,調子,ビュー | outlook,look,appearance,condition,view
8ACC (諌): 戒めます,説得 | admonish,dissuade
8CAB (貫): ピアス,8 1/3ポンド,浸透します,ブレース | pierce,8 1/3lbs,penetrate,brace
9084 (還): 送り返す,リターン | send back,return
9451 (鑑): 検体,鑑みます,から学びます | specimen,take warning from,learn from
9593 (間): 間隔,スペース | interval,space
9591 (閑): 余暇 | leisure
95A2 (関): 接続,バリア,ゲートウェイ,巻き込みます,について | connection,barrier,gateway,involve,concerning
9665 (陥): 崩壊,に落ちる,潰えます,秋（城）,滑り込みます | collapse,fall into,cave in,fall (castle),slide into
97D3 (韓): 韓国 | Korea
9928 (館): 建物,マンション,大きな建物,宮殿 | building,mansion,large building,palace
8218 (舘): マンション,大きな建物,宮殿 | mansion,large building,palace
4E38 (丸): 円形,フル（月）,完璧,-船,丸,丸めます,巻き上げる,くるくるする,誘惑します,丸めます | round,full (month),perfection,-ship,pills,make round,roll up,curl up,seduce,explain away
542B (含): 含む,含めます,口の中に保持します,心に留め,わかる,大事にします | contain,include,hold in the mouth,bear in mind,understand,cherish
5CB8 (岸): ビーチ | beach
5DCC (巌): 岩,険しい岩山,玉石 | rock,crag,boulder
73A9 (玩): 遊びます,に喜びを感じます,で弄ん,のスポーツをします | play,take pleasure in,trifle with,make sport of
764C (癌): 癌,癌悪 | cancer,cancerous evil
773C (眼): 眼球 | eyeball
5CA9 (岩): 玉石,岩,崖 | boulder,rock,cliff
7FEB (翫): に喜びを感じます,楽器を演奏します | take pleasure in,play instrument
8D0B (贋): 偽造,偽造 | counterfeit,forgery
96C1 (雁): 雁 | wild goose
9811 (頑): 頑固な,愚かな,しっかりと | stubborn,foolish,firmly
9854 (顔): 面,表現 | face,expression
9858 (願): 請願,要求,誓い,希望,希望 | petition,request,vow,wish,hope
4F01 (企): undertale,スキーム,設計,試み,計画 | undertake,scheme,design,attempt,plan
4F0E (伎): 証書,技能 | deed,skill
5371 (危): 危険な,恐れ,不安な | dangerous,fear,uneasy
559C (喜): 喜びます,に喜びを感じます | rejoice,take pleasure in
5668 (器): 器具,容器,レセプタクル,実装します,楽器,能力,コンテナ,ツール,セット | utensil,vessel,receptacle,implement,instrument,ability,container,tool,set
57FA (基): ファンダメンタルズ,ラジカル（CHEM）,マシンのカウンタ,財団 | fundamentals,radical (chem),counter for machines,foundation
5947 (奇): 奇妙な,ストレンジネス,好奇心 | strange,strangeness,curiosity
5B09 (嬉): 嬉しいです,喜んで,喜びます | glad,pleased,rejoice
5BC4 (寄): 近づきます,で停止,近付けます,ギャザー,収集します,送信,フォワード | draw near,stop in,bring near,gather,collect,send,forward
5C90 (岐): 分岐します,道路の分岐点,シーン,アリーナ,劇場 | branch off,fork in road,scene,arena,theater
5E0C (希): 希望,頼みます,要求,祈る,拝み倒します,ギリシャ,希薄（酸）,レア,少数,驚異的な | hope,beg,request,pray,beseech,Greece,dilute (acid),rare,few,phenomenal
5E7E (幾): 幾つ,いくら,どこまで,どのぐらいの間,一部,いくつかの | how many,how much,how far,how long,some,several
5FCC (忌): 喪,忌み嫌います,憎いです,回忌 | mourning,abhor,detestable,death anniversary
63EE (揮): 振り回す,波,振ります,スイング,振ります | brandish,wave,wag,swing,shake
673A (机): 机,表 | desk,table
65D7 (旗): 国旗,バナー,標準 | national flag,banner,standard
65E2 (既): 以前に,既に,ずっと前に | previously,already,long ago
671F (期): 期間,時間,日付,期間 | period,time,date,term
68CB (棋): チェスの駒,将棋,将棋 | chess piece,Japanese chess,shogi
68C4 (棄): 放棄します,捨てる,捨てます,辞職します,拒否する,犠牲 | abandon,throw away,discard,resign,reject,sacrifice
6A5F (機): 織機,機構,機械,飛行機,機会,効力,効能,時 | loom,mechanism,machine,airplane,opportunity,potency,efficacy,occasion
5E30 (帰): 帰省,到着する,に導く,結果 | homecoming,arrive at,lead to,result in
6BC5 (毅): 強い | strong
6C17 (気): 精神,マインド,空気,雰囲気,気分 | spirit,mind,air,atmosphere,mood
6C7D (汽): 蒸気,蒸気 | vapor,steam
757F (畿): 資本,首都の郊外 | capital,suburbs of capital
7948 (祈): 祈る,希望 | pray,wish
5B63 (季): 季節 | seasons
7A00 (稀): レア,驚異的な,希薄（酸） | rare,phenomenal,dilute (acid)
7D00 (紀): クロニクル,アカウント,物語,歴史,年代記,地質時代 | chronicle,account,narrative,history,annals,geologic period
5FBD (徽): 良い,綺麗な,バッジ | good,beautiful,badge
898F (規): 標準,測定 | standard,measure
8A18 (記): 筆記,アカウント,物語 | scribe,account,narrative
8CB4 (貴): 貴重な,値,賞,尊敬,名誉 | precious,value,prize,esteem,honor
8D77 (起): ラウズ,目を覚ます,起きる | rouse,wake up,get up
8ECC (軌): マンネリ,ホイール,トラック,モデル,やりよう | rut,wheel,track,model,way of doing
8F1D (輝): 輝き,輝き,輝く,キラリと光ります,きらめき | radiance,shine,sparkle,gleam,twinkle
98E2 (飢): 飢えました,飢えます | hungry,starve
9A0E (騎): 馬術の,馬に乗って,equestriansためのカウンタ | equestrian,riding on horses,counter for equestrians
9B3C (鬼): 幽霊,悪魔 | ghost,devil
4E80 (亀): カメ,カメ | tortoise,turtle
507D (偽): 虚偽,うそ,欺く,装います,偽造,偽造 | falsehood,lie,deceive,pretend,counterfeit,forgery
5100 (儀): 式,ルール,事件,場合,問題 | ceremony,rule,affair,case,a matter
5993 (妓): ストレッチ,歌う女の子,芸者,売春婦 | stretch,singing girl,geisha,prostitute
5B9C (宜): 宜しくお願いします,良い | best regards,good
622F (戯): 戯れる,遊びます,スポーツ | frolic,play,sport
6280 (技): 技能,アート,クラフト,能力,業績,パフォーマンス,天職,芸術 | skill,art,craft,ability,feat,performance,vocation,arts
64EC (擬): ミミック,目的（銃）で,ノミネート,模倣します | mimic,aim (a gun) at,nominate,imitate
6B3A (欺): 詐欺,カンニング,惑わします | deceit,cheat,delude
72A0 (犠): 犠牲 | sacrifice
7591 (疑): 疑問に思う,不信,疑います,質問 | doubt,distrust,be suspicious,question
7947 (祇): 国や地方の神,穏やかな,すばらしいです | national or local god,peaceful,great
7FA9 (義): 正義,正義,道徳,名誉,忠誠心,意味 | righteousness,justice,morality,honor,loyalty,meaning
87FB (蟻): 蟻 | ant
8ABC (誼): 友情,親密 | friendship,intimacy
8B70 (議): 審議,相談,ディベート,考慮 | deliberation,consultation,debate,consideration
63AC (掬): 手で水をすくいます | scoop up water with the hand
83CA (菊): 菊 | chrysanthemum
97A0 (鞠): 玉 | ball
5409 (吉): がんばろう,喜び,おめでとうございます | good luck,joy,congratulations
5403 (吃): 口ごもります | stammer
55AB (喫): 消費します,食べる,ドリンク,煙,受信（ブロー） | consume,eat,drink,smoke,receive (a blow)
6854 (桔): 植物名に使用 | used in plant names
6A58 (橘): ミカン | mandarin orange
8A70 (詰): パックされました,閉じる,押し,たしなめます,叱責,非難 | packed,close,pressed,reprove,rebuke,blame
7827 (砧): 縮充ブロック | fulling block
6775 (杵): 擂粉木 | wooden pestle
9ECD (黍): キビ | millet
5374 (却): 代わりに,それどころか,むしろ,あとずさりする,撤退します,退却 | instead,on the contrary,rather,step back,withdraw,retreat
5BA2 (客): ゲスト,ビジター,顧客,クライアント | guest,visitor,customer,client
811A (脚): スキッド,脚,車台,下部,ベース | skids,leg,undercarriage,lower part,base
8650 (虐): しいたげます,虐げます | tyrannize,oppress
9006 (逆): 反転しました,逆,反対,邪悪 | inverted,reverse,opposite,wicked
4E18 (丘): 丘,小山 | hill,knoll
4E45 (久): 長い時間,昔話 | long time,old story
4EC7 (仇): 敵,敵,復讐,恨み,確執 | foe,enemy,revenge,grudge,feud
4F11 (休): 残り,休みの日,リタイア,睡眠 | rest,day off,retire,sleep
53CA (及): 手を伸ばす,発揮します,運動,原因 | reach out,exert,exercise,cause
5438 (吸): 吸います,吸収します,吸い込みます,一口 | suck,imbibe,inhale,sip
5BAE (宮): 神社,星座,宮殿,王女 | Shinto shrine,constellations,palace,princess
5F13 (弓): 弓,弓（アーチェリー,バイオリン） | bow,bow (archery, violin)
6025 (急): 急ぎます,緊急,突然,急な | hurry,emergency,sudden,steep
6551 (救): 救い,セーブ,助けて,レスキュー,取り戻します | salvation,save,help,rescue,reclaim
673D (朽): 減衰,腐敗,隠遁に残ります | decay,rot,remain in seclusion
6C42 (求): 要求,欲しいです,望みます,必要とします,デマンド | request,want,wish for,require,demand
6C72 (汲): ドロー（水）,ひしゃく,スクープ,ポンプ | draw (water),ladle,scoop,pump
6CE3 (泣): 泣く,泣きます,うめき声 | cry,weep,moan
7078 (灸): 灸,せっかん | moxa cautery,chastisement
7403 (球): 玉,球 | ball,sphere
7A76 (究): 研究,調査 | research,study
7AAE (窮): 無一文,極貧の,苦しみます,当惑しました,角のあります | hard up,destitute,suffer,perplexed,cornered
7B08 (笈): バックパックの本棚 | backpack bookcase
7D1A (級): クラス,ランク,グレード | class,rank,grade
7CFE (糾): ねじれ,頼みます,調査する,確認します | twist,ask,investigate,verify
7D66 (給): 給料,賃金,贈り物,許可します,付与,上授けます | salary,wage,gift,allow,grant,bestow on
65E7 (旧): 昔,昔の事,古くからの友人,前者,EX- | old times,old things,old friend,former,ex-
725B (牛): 牛 | cow
53BB (去): ゴーン,過去,やめます,残します,経過,取り除きます,離婚 | gone,past,quit,leave,elapse,eliminate,divorce
5C45 (居): 住む,することが,存在します,一緒に暮らします | reside,to be,exist,live with
5DE8 (巨): 巨大,大きい,大,すばらしいです | gigantic,big,large,great
62D2 (拒): はじきます,ごみ,拒否する,低下 | repel,refuse,reject,decline
62E0 (拠): 足場,に基づく,続きます,従って | foothold,based on,follow,therefore
6319 (挙): レイズ,計画,プロジェクト,動作,行動 | raise,plan,project,behavior,actions
6E20 (渠): 溝,運河,ロック | ditch,canal,lock
865A (虚): ボイド,空虚,unpreparedness,亀裂,亀裂,虚偽 | void,emptiness,unpreparedness,crack,fissure,untruth
8A31 (許): 許可,承認します | permit,approve
8DDD (距): 長距離,拍車,球節 | long-distance,spur,fetlock
92F8 (鋸): のこぎり（木材をカット） | saw (cuts wood)
6F01 (漁): 釣り,漁業 | fishing,fishery
79A6 (禦): 守る,守ります,抵抗します,追い払います | defend,protect,resist,ward off
9B5A (魚): 魚 | fish
4EA8 (亨): 通過します,順調に進みます | pass through,go smoothly
4EAB (享): 楽しみます,受け取ります,受けます,答えは（電話）,取る,取得する,キャッチ | enjoy,receive,undergo,answer (phone),take,get,catch
4EAC (京): 資本,10 ** 16 | capital,10**16
4F9B (供): 提出します,提供,現在,サーブ（食事）,同行します | submit,offer,present,serve (meal),accompany
4FA0 (侠): おてんば娘,騎士道 | tomboy,chivalry
50D1 (僑): 仮設住宅 | temporary home
5147 (兇): 邪悪 | wickedness
7AF6 (競): エミュレート,と競争する,入札,競ります,試合,コンテスト,レース | emulate,compete with,bid,sell at auction,bout,contest,race
5171 (共): 一緒に,どちらも,どちらもありません,すべて,そして,同様に,とともに | together,both,neither,all,and,alike,with
51F6 (凶): 悪役,悪の,不運,災害 | villain,evil,bad luck,disaster
5354 (協): コ,協力 | co-,cooperation
5321 (匡): 正しい,セーブ,支援する | correct,save,assist
537F (卿): 君は,主,秘書,卿 | you,lord,secretary,state minister
53EB (叫): シャウト,叫ぶ,エール | shout,exclaim,yell
55AC (喬): 高い,豪語 | high,boasting
5883 (境): 境界,境界,領域 | boundary,border,region
5CE1 (峡): 渓谷,渓谷 | gorge,ravine
5F37 (強): 強い | strong
5F4A (彊): 強い | strong
602F (怯): 臆病,ひるみ,尻込み,ためらいます,迷います | cowardice,wince,flinch,hesitate,waver
6050 (恐): 恐れ,恐怖,畏敬の念 | fear,dread,awe
606D (恭): 尊敬,うやうやしいです | respect,reverent
631F (挟): ピンチ,の間に | pinch,between
6559 (教): 教える,信仰,教義 | teach,faith,doctrine
6A4B (橋): ブリッジ | bridge
6CC1 (況): 調子,状況 | condition,situation
72C2 (狂): 狂人,非常識な,クレイジー,混乱させる | lunatic,insane,crazy,confuse
72ED (狭): 窮屈な,狭い,契約する,タイト | cramped,narrow,contract,tight
77EF (矯): 正します,正します,正しい,改革,治す,コントロール,装います,偽ります | rectify,straighten,correct,reform,cure,control,pretend,falsify
80F8 (胸): 懐,乳,胸,ハート,感情 | bosom,breast,chest,heart,feelings
8105 (脅): 脅かす,強要します | threaten,coerce
8208 (興): 楽しませます,復活させます,検索します,関心,喜び | entertain,revive,retrieve,interest,pleasure
854E (蕎): そば | buckwheat
90F7 (郷): 出身地,村,出身地,地区 | home town,village,native place,district
93E1 (鏡): 鏡,検鏡,バレルヘッド,丸い餅の提供 | mirror,speculum,barrel-head,round rice-cake offering
97FF (響): エコー,音,鳴り響きます,リング,振動します | echo,sound,resound,ring,vibrate
9957 (饗): バンケット | banquet
9A5A (驚): ワンダー,びっくりします,驚きました,びっくりしました | wonder,be surprised,frightened,amazed
4EF0 (仰): 顔を上げて,見上げる,左右される,シーク,尊敬,rever,ドリンク,取る | face-up,look up,depend,seek,respect,rever,drink,take
51DD (凝): 凍らせます,フリーズ,堅いです,に吸収されます | congeal,freeze,stiff,be absorbed in
5C2D (尭): 高い,遠く | high,far
6681 (暁): 夜明け,夜明け,イベントで | daybreak,dawn,in the event
696D (業): ビジネス,天職,芸術,パフォーマンス | business,vocation,arts,performance
5C40 (局): 局,ボード,オフィス,事件,結論,上臈,女性・イン・ウェイティング,彼女のアパート | bureau,board,office,affair,conclusion,court lady,lady-in-waiting,her apartment
66F2 (曲): ベンド,音楽,メロディー,組成,喜び,不正,障害,曲線,ゆがみました,ひねくれました,リーン | bend,music,melody,composition,pleasure,injustice,fault,curve,crooked,perverse,lean
6975 (極): ポール,決済,結論,終わり,最高ランク,電柱,非常に,極めて,最も,高度に,10 ** 48 | poles,settlement,conclusion,end,highest rank,electric poles,very,extremely,most,highly,10**48
7389 (玉): 宝石,玉 | jewel,ball
6850 (桐): 桐 | paulownia
7C81 (粁): キロメートル,（kokuji） | kilometer,(kokuji)
50C5 (僅): ほんの少し | a wee bit
52E4 (勤): 勤勉,就業になります,サーブ | diligence,become employed,serve
5747 (均): レベル,平均 | level,average
5DFE (巾): タオル,掛軸,幅,布ラジカル（NO。50） | towel,hanging scroll,width,cloth radical (no. 50)
9326 (錦): ブロケード,細かいドレス,Hオナーズ | brocade,fine dress,honors
65A4 (斤): 斧,1.32ポンド,猫のような,パンのパンのためのカウンタ,斧ラジカル（NO。69） | axe,1.32 lb,catty,counter for loaves of bread,axe radical (no. 69)
6B23 (欣): に喜びを感じます,喜びます | take pleasure in,rejoice
6B3D (欽): 尊敬,あがめます,以下のための長いです | respect,revere,long for
7434 (琴): ハープ,琴 | harp,koto
7981 (禁): 禁止,禁止,禁じます | prohibition,ban,forbid
79BD (禽): 鳥,キャプティブ,キャプチャー | bird,captive,capture
7B4B (筋): 筋,筋,腱,ファイバ,プロット,計画,降下 | muscle,sinew,tendon,fiber,plot,plan,descent
7DCA (緊): 時制,固体,ハード,信頼性のある,タイト | tense,solid,hard,reliable,tight
82B9 (芹): パセリ | parsley
83CC (菌): 胚芽,菌,細菌 | germ,fungus,bacteria
887F (衿): ネック,カラー,ラペル | neck,collar,lapel
895F (襟): カラー,ネック,ラペル,自分の内側の感情 | collar,neck,lapel,one\'s inner feelings
8B39 (謹): 個別の,うやうやしく,謙虚に | discreet,reverently,humbly
8FD1 (近): 近く,早く,同族の,等しいです | near,early,akin,tantamount
91D1 (金): ゴールド | gold
541F (吟): 詩にします,歌います,リサイタル | versify,singing,recital
9280 (銀): 銀 | silver
4E5D (九): 9 | nine
5036 (倶): どちらも | both
53E5 (句): フレーズ,句,文,通路,段落,俳句のカウンター | phrase,clause,sentence,passage,paragraph,counter for haiku
533A (区): 区,地区 | ward,district
72D7 (狗): 子犬,犬 | puppy,dog
7396 (玖): 美しい黒の宝石,9 | beautiful black jewel,nine
77E9 (矩): ルーラー,曲尺 | ruler,carpenter\'s square
82E6 (苦): 苦しみ,トライアル,心配,苦難,恨みます,顔をしかめます | suffering,trial,worry,hardship,feel bitter,scowl
8EAF (躯): 体,死体,腐ったコアを持つツリー | body,corpse,tree with rotten core
99C6 (駆): ドライブ,ラン,ギャロップ,前進,インスパイア,駆り立てます | drive,run,gallop,advance,inspire,impel
99C8 (駈): ラン,ギャロップ,前進 | run,gallop,advance
99D2 (駒): ポニー,うま,コルト | pony,horse,colt
5177 (具): ツール,器具,手段,所有します,材料,鎧のためのカウンタ,スーツ,家具のセット | tool,utensil,means,possess,ingredients,counter for armor, suits, sets of furniture
611A (愚): 愚かな,愚行,不条理,愚か | foolish,folly,absurdity,stupid
865E (虞): 恐れ,不安,不安,懸念,期待,考慮 | fear,uneasiness,anxiety,concern,expectation,consideration
55B0 (喰): 食べる,ドリンク,受信（ブロー）,（kokuji） | eat,drink,receive (a blow),(kokuji)
7A7A (空): 空の,空,ボイド,空いています,真空 | empty,sky,void,vacant,vacuum
5076 (偶): 誤って,偶数,カップル,おとこ ＆; 妻,同種 | accidentally,even number,couple,man &amp; wife,same kind
5BD3 (寓): 一時的な住まい,暗示します,示唆する | temporary abode,imply,suggest
9047 (遇): 大会,出会い,インタビュー,扱います,楽しませます,受け取ります,扱う | meet,encounter,interview,treat,entertain,receive,deal with
9685 (隅): コーナー,隅 | corner,nook
4E32 (串): シシカバブ,串,串 | shish kebab,spit,skewer
6ADB (櫛): 櫛 | comb
91E7 (釧): ブレスレット | bracelet
5C51 (屑): ごみ,ジャンク,ゴミ,廃棄物,切り抜き | rubbish,junk,trash,waste,scraps
5C48 (屈): 産出,ベンド,尻込み,提出します | yield,bend,flinch,submit
6398 (掘): 掘る,掘り下げます,掘り出します | dig,delve,excavate
7A9F (窟): 大洞窟 | cavern
6C93 (沓): 靴,ブーツ | shoes,boots
9774 (靴): 靴 | shoes
8F61 (轡): ビット（馬） | bit (horse)
7AAA (窪): うつ病,潰えます,シンク,中空になります | depression,cave in,sink,become hollow
718A (熊): くま | bear
9688 (隈): コーナー,隅,リセス | corner,nook,recess
7C82 (粂): 固有名詞で使用,（kokuji） | used in proper names,(kokuji)
6817 (栗): 栗 | chestnut
7E70 (繰): 巻き取り,リール,スピン,ターン（ページ）,見上げる,を参照してください。 | winding,reel,spin,turn (pages),look up,refer to
6851 (桑): 桑 | mulberry
936C (鍬): 鋭角に長い刃で鍬 | hoe with long blade at acute angle
52F2 (勲): 労功,値する | meritorious deed,merit
541B (君): ミスター,君は,ルーラー,男性の名サフィックス | mister,you,ruler,male name suffix
85AB (薫): 香りを送り出します,香り高いです,香りします,煙（タバコ） | send forth fragrance,fragrant,be scented,smoke (tobacco)
8A13 (訓): 命令,日本語の文字読み取り,説明,読む | instruction,Japanese character reading,explanation,read
7FA4 (群): 群れ,グループ,群集,群れ,群れ,クラスタ | flock,group,crowd,herd,swarm,cluster
8ECD (軍): 軍,力,軍,戦争,戦い | army,force,troops,war,battle
90E1 (郡): 郡,地区 | county,district
5366 (卦): 占いの兆候 | a divination sign
8888 (袈): 粗キャムレット | a coarse camlet
7941 (祁): 激しいです,大 | intense,large
4FC2 (係): 担当者,接続,義務,懸念自分 | person in charge,connection,duty,concern oneself
50BE (傾): リーン,傾斜,チルト,傾向,衰え,シンク,破滅,バイアス | lean,incline,tilt,trend,wane,sink,ruin,bias
5211 (刑): 罰します,ペナルティ,文,罰 | punish,penalty,sentence,punishment
5144 (兄): 兄貴,兄 | elder brother,big brother
5553 (啓): 開示します,開いた,いう | disclose,open,say
572D (圭): 正方形の宝石,コーナー,角度,エッジ | square jewel,corner,angle,edge
73EA (珪): ヒスイ笏やタブレット（権限のシンボル） | jade scepter or tablet (authority symbol)
578B (型): 型,タイプ,モデル | mould,type,model
5951 (契): 誓約,約束する,誓い | pledge,promise,vow
5F62 (形): 形状,形,スタイル | shape,form,style
5F84 (径): 直径,パス,方法 | diameter,path,method
6075 (恵): 好意,祝福,グレース,親切 | favor,blessing,grace,kindness
6176 (慶): 歓喜,祝います,喜びます,幸せになる | jubilation,congratulate,rejoice,be happy
6167 (慧): 賢いです | wise
61A9 (憩): リセス,残り,リラックス,安息 | recess,rest,relax,repose
63B2 (掲): 我慢（予告）,我慢する,ホイスト,表示,たむろう,パブリッシュ,説明します | put up (a notice),put up,hoist,display,hang out,publish,describe
643A (携): ポータブル,（手に）運びます,で武装,持って来る | portable,carry (in hand),armed with,bring along
656C (敬): 畏敬の念,尊敬,名誉,あがめます | awe,respect,honor,revere
666F (景): 風景,ビュー | scenery,view
6842 (桂): 日本のユダの木,シナモンの木 | Japanese Judas-tree,cinnamon tree
6E13 (渓): 渓流,谷 | mountain stream,valley
7566 (畦): 水田の尾根,畝間,リブ | rice paddy ridge,furrow,rib
7A3D (稽): 考えます,考えます | think,consider
7CFB (系): 系統,システム | lineage,system
7D4C (経): 経典,経度,パススルー,有効期限が切れます,ワープ | sutra,longitude,pass thru,expire,warp
7D99 (継): 受け継ぎます,成功します,持続する,パッチ,グラフト（木） | inherit,succeed,continue,patch,graft (tree)
7E4B (繋): ネクタイ,留めます,鎖,テザー,接続します | tie,fasten,chain,tether,connect
7F6B (罫): 罫線 | ruled line
830E (茎): 茎,幹 | stalk,stem
834A (荊): とげ,荊,ホイップ | thorn,brier,whip
86CD (蛍): 雷のバグ,ホタル | lightning-bug,firefly
8A08 (計): プロット,計画,スキーム,測定 | plot,plan,scheme,measure
8A63 (詣): 寺院を訪問,到着します,達成します | visit a temple,arrive,attain
8B66 (警): 戒めます,命令 | admonish,commandment
8EFD (軽): 軽く,些細,重要でありません | lightly,trifling,unimportant
981A (頚): ネック,頭 | neck,head
9D8F (鶏): チキン | chicken
82B8 (芸): 技術,アート,クラフト,パフォーマンス,演技,トリック,スタント | technique,art,craft,performance,acting,trick,stunt
8FCE (迎): ようこそ,大会,挨拶します | welcome,meet,greet
9BE8 (鯨): 鯨 | whale
5287 (劇): ドラマ,遊びます | drama,play
621F (戟): ハルバート,武器 | halbert,arms
6483 (撃): ビート,攻撃,敗北,征服します | beat,attack,defeat,conquer
6FC0 (激): 暴力的な,わくわくになる,激怒しました,すり減らします,駆り立てます | violent,get excited,enraged,chafe,incite
9699 (隙): 隙間,亀裂,不和,機会,余暇 | crevice,fissure,discord,opportunity,leisure
6841 (桁): ビーム,桁,スパー,単位または列（会計） | beam,girder,spar,unit or column (accounting)
5091 (傑): 偉大,優秀 | greatness,excellence
6B20 (欠): 欠如,ギャップ,失敗します,あくびラジカル（NO。76） | lack,gap,fail,yawning radical (no. 76)
6C7A (決): 決めます,修正します,合意,任命します | decide,fix,agree upon,appoint
6F54 (潔): 汚れのありません,ピュア,クリーン,正しいです,勇敢な | undefiled,pure,clean,righteous,gallant
7A74 (穴): 穴,開口部,スリット,洞窟,デン | hole,aperture,slit,cave,den
7D50 (結): ネクタイ,バインド,契約する,参加します,整理します,髪をアップ行います,留めます | tie,bind,contract,join,organize,do up hair,fasten
8840 (血): 血液 | blood
8A23 (訣): 分離,部,秘密 | separation,part,secret
6708 (月): 月,月 | month,moon
4EF6 (件): 事件,場合,問題,項目 | affair,case,matter,item
5039 (倹): 質素な,経済,つましい | frugal,economy,thrifty
5026 (倦): 飽きます,のタイヤ | lose interest in,tire of
5065 (健): 健康,健康,力,固執 | healthy,health,strength,persistence
517C (兼): 同時に,そして,予め,あらかじめ | concurrently,and,beforehand,in advance
5238 (券): チケット | ticket
5263 (剣): サーベル,剣,刃,時計の針 | sabre,sword,blade,clock hand
55A7 (喧): うるさい,騒々しいです | noisy,boisterous
570F (圏): 球,サークル,半径,範囲 | sphere,circle,radius,range
5805 (堅): 厳格な,ハード,固体,タフ,タイト,信頼性のある | strict,hard,solid,tough,tight,reliable
5ACC (嫌): 嫌い,憎みます,嫌い | dislike,detest,hate
5EFA (建): ビルド | build
61B2 (憲): 憲法,法律 | constitution,law
61F8 (懸): サスペンションの状態,ハング,左右される,相談します,遠く,遠く離れて | state of suspension,hang,depend,consult,distant,far apart
62F3 (拳): 拳 | fist
6372 (捲): ロール,風,コイル,ページをめくります,袖をロールアップ,取り除きます,回すこと,ロールアップします | roll,wind,coil,turn pages,roll up sleeves,strip off,be turned,be rolled up
691C (検): 検査,調査する | examination,investigate
6A29 (権): 権限,パワー,ライツ | authority,power,rights
727D (牽): 引く,強く引っ張ります,ドラッグ,手でリード | pull,tug,drag,lead by hand
72AC (犬): 犬 | dog
732E (献): 募集,ドリンクカウンター,現在,提供 | offering,counter for drinks,present,offer
7814 (研): 研磨,の研究,研ぎます | polish,study of,sharpen
786F (硯): 硯 | inkstone
7D79 (絹): シルク | silk
770C (県): 県 | prefecture
80A9 (肩): ショルダー | shoulder
898B (見): 見る,希望,チャンス,アイディア,意見,見る,目に見えます | see,hopes,chances,idea,opinion,look at,visible
8B19 (謙): 痛恨,謙虚な自分,見下すような態度を取ります,ささやかなこと | self-effacing,humble oneself,condescend,be modest
