4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
76F2 (盲): ブラインド,盲目の男,無知な者 | blind,blind man,ignoramus
7DB2 (網): ネッティング,ネットワーク | netting,network
8017 (耗): 減少 | decrease
8499 (蒙): 無知,闇,取得する,受け取る,に供すること,サスティーン,モンゴル | ignorance,darkness,get,receive,be subjected to,sustain,Mongolia
5132 (儲): 収益性,収量利益 | be profitable,yield profit
6728 (木): 木,木材 | tree,wood
9ED9 (黙): 沈黙,沈黙する,話す停止,そのまま残する | silence,become silent,stop speaking,leave as is
76EE (目): 眼,クラス,見ます,洞察,経験,お手入れ,好意 | eye,class,look,insight,experience,care,favor
6762 (杢): 木工機械 | woodworker,(kokuji)
52FF (勿): しません,いけません,しない,ないこと | not,must not,do not,be not
9905 (餅): 餅餅 | mochi rice cake
5C24 (尤): リーズナブル,ただ,ナチュラル,素晴らしい,傑出した,もっともらしい | reasonable,just,natural,superb,outstanding,plausible
623B (戻): 再び,リターン,戻する,履歴書,リストア,後方に行く | re-,return,revert,resume,restore,go backwards
7C7E (籾): 籾 | unhulled rice,(kokuji)
8CB0 (貰): 取得する,持ってる,入手する | get,have,obtain
554F (問): 質問,頼む,問題 | question,ask,problem
60B6 (悶): 悶える,心配 | be in agony,worry
7D0B (紋): 家紋,統計 | family crest,figures
9580 (門): ゲート,大砲のためのカウンタ | gate,counter for cannons
5301 (匁): 匁,3.75グラム | monme,3.75 grams,(kokuji)
4E5F (也): （古典的）であることが | to be (classical)
51B6 (冶): 溶融,精錬 | melting,smelting
591C (夜): 夜,イブニング | night,evening
723A (爺): 老人,おじいちゃん | old man,grampa
8036 (耶): クエッションマーク | question mark
91CE (野): 平野,フィールド,素朴な,市民生活 | plains,field,rustic,civilian life
5F25 (弥): なおさら,ますます | all the more,increasingly
77E2 (矢): ダーツ,矢印 | dart,arrow
5384 (厄): 不運,不幸,不運,災害 | unlucky,misfortune,bad luck,disaster
5F79 (役): 義務,戦争,キャンペーン,起草労働,オフィス,サービス,役割 | duty,war,campaign,drafted labor,office,service,role
7D04 (約): 約束する,約,シュリンク | promise,approximately,shrink
85AC (薬): 医学,化学物質,エナメル,火薬,利益 | medicine,chemical,enamel,gunpowder,benefit
8A33 (訳): 翻訳する,理由,状況,場合 | translate,reason,circumstance,case
8E8D (躍): 跳躍,ダンス,スキップ | leap,dance,skip
9756 (靖): 穏やかな | peaceful
67F3 (柳): 柳 | willow
85AE (薮): 茂み,ブッシュ,やぶ,木立 | thicket,bush,underbrush,grove
9453 (鑓): 槍,ジャベリン | spear,javelin,(kokuji)
6109 (愉): 喜び,ハッピー,喜びます | pleasure,happy,rejoice
6108 (愈): 優れていること,癒する,だんだん,ますます,最後に,疑う余地なく | be superior,heal,more and more,increasingly,finally,beyond doubt
6CB9 (油): 油,脂肪 | oil,fat
7652 (癒): ヒーリング,治す,クエンチ（渇き）,もたらする | healing,cure,quench (thirst),wreak
8AED (諭): 叱責,戒める,電荷,警告する,説得する | rebuke,admonish,charge,warn,persuade
8F38 (輸): 輸送,送信,劣る | transport,send,be inferior
552F (唯): もっぱら,のみ,単に,単に | solely,only,merely,simply
4F51 (佑): 助けて,支援する | help,assist
512A (優): 優しさ,エクセル,しのぐ,俳優,優位性,優しさ | tenderness,excel,surpass,actor,superiority,gentleness
52C7 (勇): 勇気,元気づける,張り切る,勇気,ヒロイズム | courage,cheer up,be in high spirits,bravery,heroism
53CB (友): 友人 | friend
5BA5 (宥): 落ち着かせます,穏やかな,なだめる | soothe,calm,pacify
5E7D (幽): 隔離する,幽する,深い,深遠,人里離れました,かすかな,ダーク,静かな,穏やかな | seclude,confine to a room,deep,profound,secluded,faint,dark,tranquil,calm
60A0 (悠): 永続,遠く,長い時間,余暇 | permanence,distant,long time,leisure
6182 (憂): 憂鬱,悲しむ,嘆く,案じます,悲しい,不幸 | melancholy,grieve,lament,be anxious,sad,unhappy
63D6 (揖): 折りたたまれた腕を弓,一緒になる,アセンブル | bow with arms folded,come together,assemble
6709 (有): 所有する,持ってる,存在する,起こる,発生する,約 | possess,have,exist,happen,occur,approx
67DA (柚): シトロン | citron
6E67 (湧): 沸騰,発酵,沸き返る,騒動,繁殖 | boil,ferment,seethe,uproar,breed
6D8C (涌): 沸騰,発酵,沸き返る,騒動,繁殖 | boil,ferment,seethe,uproar,breed
7336 (猶): さらに,まだ,まだ | furthermore,still,yet
7337 (猷): 計画,スキーム,プロット,方法 | plan,scheme,plot,way
7531 (由): なぜ,理由 | wherefore,a reason
7950 (祐): 助けて | help
88D5 (裕): 豊富な,リッチ,肥沃な | abundant,rich,fertile
8A98 (誘): 誘惑する,鉛,誘惑する,招待,頼む,呼び掛ける,誘惑する,魅力 | entice,lead,tempt,invite,ask,call for,seduce,allure
904A (遊): 遊びます | play
9091 (邑): 村,農村社会 | village,rural community,right village radical (no. 163)
90F5 (郵): 郵便物,駅馬車の停留所 | mail,stagecoach stop
96C4 (雄): 男性,男性,ヒーロー,リーダー,優位性,優秀 | masculine,male,hero,leader,superiority,excellence
878D (融): ディゾルブ,メルト | dissolve,melt
5915 (夕): イブニング | evening
4E88 (予): 予め,前,私自身,私 | beforehand,previous,myself,I
4F59 (余): 過度に,私自身,余剰,他の,残り | too much,myself,surplus,other,remainder
4E0E (与): 授けます,参加する,与える,賞,伝える,提供する,原因,贈り物,天の恵み | bestow,participate in,give,award,impart,provide,cause,gift,godsend
8A89 (誉): 評判,賞賛,名誉,栄光 | reputation,praise,honor,glory
8F3F (輿): 駕籠,棺台 | palanquin,bier
9810 (預): 保証金,親権,一緒に出国,任せます | deposit,custody,leave with,entrust to
50AD (傭): 採用する,雇う | employ,hire
5E7C (幼): 幼少,幼年時代 | infancy,childhood
5996 (妖): 魅力的,魅惑的な,災害 | attractive,bewitching,calamity
5BB9 (容): 含む,形,ルックス | contain,form,looks
5EB8 (庸): ありふれました,一般,雇用 | commonplace,ordinary,employment
63DA (揚): レイズ,持ち上げる,ホイスト,賞賛,褒めそやする,深い脂肪で揚げる | raise,elevate,hoist,praise,extol,fry in deep fat
63FA (揺): スイング,振る,スウェイ,岩,震える,振動する | swing,shake,sway,rock,tremble,vibrate
64C1 (擁): 抱擁,擁する,所有する,守る,鉛 | hug,embrace,possess,protect,lead
66DC (曜): 平日 | weekday
694A (楊): 柳 | willow
69D8 (様): ESQ。,方法,やり方,状況,丁寧な接尾辞 | Esq.,way,manner,situation,polite suffix
6D0B (洋): 海洋,洋式 | ocean,western style
6EB6 (溶): メルト,ディゾルブ,解凍 | melt,dissolve,thaw
7194 (熔): ヒューズ,メルト | fuse,melt
7528 (用): 利用する,ビジネス,サービス,つかう,採用する | utilize,business,service,use,employ
7AAF (窯): 窯,オーブン,ファーネス | kiln,oven,furnace
7F8A (羊): 羊 | sheep
8000 (耀): 輝き,輝く,キラリと光る,きらめき | shine,sparkle,gleam,twinkle
8449 (葉): 葉,飛行機,葉,針,刃,槍,平らなもののためにカウンタ,断片,ピース | leaf,plane,lobe,needle,blade,spear,counter for flat things,fragment,piece
84C9 (蓉): 蓮 | lotus
8981 (要): 必要,主なポイント,エッセンス,ピボット,への鍵 | need,main point,essence,pivot,key to
8B21 (謡): 歌,歌う,バラード,能楽詠唱 | song,sing,ballad,noh chanting
8E0A (踊): ジャンプ,ダンス,跳躍,スキップ | jump,dance,leap,skip
9065 (遥): 大きく外れて,遠く,ずっと前に | far off,distant,long ago
967D (陽): 日光,陽原則,ポジティブ,男性,天国,昼間 | sunshine,yang principle,positive,male,heaven,daytime
990A (養): フォスター,持ってくる,リア,開発する,育成 | foster,bring up,rear,develop,nurture
617E (慾): 貪欲,貪欲,情熱,慾望,渇望 | covetousness,greed,passion,desire,craving
6291 (抑): 抑制する,よく,今,まず第一に,押す,押し込む,押す,シール,にも関わらず行う | repress,well,now,in the first place,push,shove,press,seal,do in spite of
6B32 (欲): 憧れ,貪欲,貪欲,情熱,慾望,渇望 | longing,covetousness,greed,passion,desire,craving
6C83 (沃): 肥沃 | fertility
6D74 (浴): 入浴,で好まれます,で浴する | bathe,be favored with,bask in
7FCC (翌): 以下,次 | the following,next
7FFC (翼): 翼,飛行機,脇腹 | wing,plane,flank
6DC0 (淀): プール,渦 | pool,eddy
7F85 (羅): ガーゼ,薄絹,ローマ,アレンジ,広がる | gauze,thin silk,Rome,arrange,spread out
87BA (螺): 小さい,食用,螺旋状の淡水軟体動物 | small, edible, helical fresh-water mollusk
88F8 (裸): 裸,ヌード,発見,部分的に服を着 | naked,nude,uncovered,partially clothed
6765 (来): 来ます,原因,次,原因,なる | come,due,next,cause,become
83B1 (莱): アカザ,アカザ | goosefoot,pigweed
983C (頼): 信頼,要求 | trust,request
96F7 (雷): サンダー,稲妻 | thunder,lightning bolt
6D1B (洛): 京都,首都 | Kyoto,the capital
7D61 (絡): 絡まる,巻き付く,巻き込まれる | entwine,coil around,get caught in
843D (落): 秋,ドロップ,降りてくる,村,ハムレット | fall,drop,come down,village,hamlet
916A (酪): 乳製品,乳清,ブロス,フルーツジュース | dairy products,whey,broth,fruit juice
4E71 (乱): 暴動,戦争,障害,ディスターブ | riot,war,disorder,disturb
5375 (卵): 卵,卵子,スポーン,卵 | egg,ovum,spawn,roe
5D50 (嵐): 嵐,嵐 | storm,tempest
6B04 (欄): カラム,手すり,ブランク,スペース | column,handrail,blank,space
6FEB (濫): 過度の,オーバーフロー,広がる | excessive,overflow,spread out
85CD (藍): インジゴ | indigo
862D (蘭): 蘭,オランダ | orchid,Holland
89A7 (覧): 熟読,見る | perusal,see
5229 (利): 利益,利点,利益 | profit,advantage,benefit
540F (吏): 役員,公式 | officer,an official
5C65 (履): 実行する,コンプリート,下足,靴,ブーツ,履く | perform,complete,footgear,shoes,boots,put on (the feet)
674E (李): 梅 | plum
68A8 (梨): ナシの木 | pear tree
7406 (理): 論理,配置,理由,正義,真実 | logic,arrangement,reason,justice,truth
7483 (璃): ガラス状の,ラピスラズリ | glassy,lapis lazuli
75E2 (痢): 下痢 | diarrhea
88CF (裏): バック,中に,に,逆,内部,手のひら,唯一,リア,裏地,間違った側 | back,amidst,in,reverse,inside,palm,sole,rear,lining,wrong side
88E1 (裡): 逆,内部,手のひら,唯一,リア,裏地,間違った側 | reverse,inside,palm,sole,rear,lining,wrong side
91CC (里): 里,村,親の家,リーグ | ri,village,parent\'s home,league
96E2 (離): デタッチ,分離,分けます,脱線する | detach,separation,disjoin,digress
9678 (陸): 土地,6 | land,six
5F8B (律): リズム,法律,規制,ゲージ,コントロール | rhythm,law,regulation,gauge,control
7387 (率): 比,レート,割合,％,係数,因子 | ratio,rate,proportion,%,coefficient,factor
7ACB (立): 立ち上がる,上昇,セットアップ,直立 | stand up,rise,set up,erect
844E (葎): つる,末尾の植物,ブドウの木 | creepers,trailing plants,vines
63A0 (掠): 略奪,奪う,グレイズ,スキム,掠める,カンニング,ヒント | pillage,rob,graze,skim,sweep over,cheat,hint
7565 (略): 略語,省略,アウトライン,短くする,キャプチャー,略奪 | abbreviation,omission,outline,shorten,capture,plunder
5289 (劉): 戦争の武器,ロギング斧,大挙殺する,壁をオフにペイント（剥離,等）,まばらな,色あせました | weapon of war,logging axe,kill en masse,peeling (paint off a wall, etc),sparse,faded
6D41 (流): 現在,シンク,フロー,没収 | current,a sink,flow,forfeit
6E9C (溜): 収集する,ギャザー,溜る | collect,gather,be in arrears
7409 (琉): 宝石,宝石,ラピスラズリ | precious stone,gem,lapis lazuli
7559 (留): 拘留する,留める,停止,やめる | detain,fasten,halt,stop
786B (硫): 硫黄 | sulphur
7C92 (粒): 穀類,ドロップ,小さな粒子のためのカウンタ | grains,drop,counter for tiny particles
9686 (隆): こぶ,高い,ノーブル,繁栄 | hump,high,noble,prosperity
7ADC (竜): ドラゴン,インペリアル | dragon,imperial
9F8D (龍): ドラゴン,インペリアル | dragon,imperial
4FB6 (侶): コンパニオン,フォロワー | companion,follower
616E (慮): 慎重,思想,懸念,考える,意図的な,恐れ | prudence,thought,concern,consider,deliberate,fear
65C5 (旅): 旅行,旅行 | trip,travel
865C (虜): キャプティブ,野蛮人,敵のための低形容 | captive,barbarian,low epithet for the enemy
4E86 (了): コンプリート,仕上げ | complete,finish
4EAE (亮): クリア,助けて | clear,help
50DA (僚): 同僚,公式,コンパニオン | colleague,official,companion
4E21 (両): どちらも,日本の古いコイン,馬車用のカウンタ（例えば、,）電車の中で,二 | both,old Japanese coin,counter for carriages (e.g., in a train),two
51CC (凌): 耐える,回避する,乗り切る,無視する,わずかな,しのぐ | endure,keep (rain)out,stave off,tide over,defy,slight,surpass
5BEE (寮): 寮,ホステル,別荘,ティーパビリオン | dormitory,hostel,villa,tea pavillion
6599 (料): 代,材料 | fee,materials
6881 (梁): 堰,簗,ビーム,桁 | weir,fish trap,beam,girder
6DBC (涼): 爽やか,とても涼しい | refreshing,nice and cool
731F (猟): ゲーム狩猟,射撃,ゲーム,バッグ | game-hunting,shooting,game,bag
7642 (療): 癒する,治す | heal,cure
77AD (瞭): クリア | clear
7A1C (稜): 角度,エッジ,コーナー,パワー,威厳 | angle,edge,corner,power,majesty
7CE7 (糧): 条文,フード,パン | provisions,food,bread
826F (良): 良い,楽しい,熟練しました | good,pleasing,skilled
8AD2 (諒): 事実,現実,わかる,感謝する | fact,reality,understand,appreciate
907C (遼): 遠く | distant
91CF (量): 量,測定,重量,量,考える,見積もり,推量する | quantity,measure,weight,amount,consider,estimate,surmise
9675 (陵): 霊廟,御陵,マウンド,丘 | mausoleum,imperial tomb,mound,hill
9818 (領): 管轄,ドミニオン,地域,封土,治世 | jurisdiction,dominion,territory,fief,reign
529B (力): パワー,力,強い,歪み,耐える,発揮する | power,strength,strong,strain,bear up,exert
7DD1 (緑): 緑 | green
502B (倫): 倫理,コンパニオン | ethics,companion
5398 (厘): RIN,1/10銭,1/10購入 | rin,1/10 sen,1/10 bu
6797 (林): 木立,森林 | grove,forest
6DCB (淋): 寂しい,さびれました | lonely,deserted
71D0 (燐): リン | phosphorus
7433 (琳): 宝石,宝石のチリンチリンと鳴る | jewel,tinkling of jewelry
81E8 (臨): 目を向ける,面,大会,直面する,出席する,上の呼び出し | look to,face,meet,confront,attend,call on
8F2A (輪): ホイール,リング,サークル,リンク,ループ,車輪や花のカウンター | wheel,ring,circle,link,loop,counter for wheels and flowers
96A3 (隣): 近隣の | neighboring
9C57 (鱗): スケール（魚） | scales (fish)
9E9F (麟): 中国のユニコーン,天才,キリン,鮮やか,シャイニング | Chinese unicorn,genius,giraffe,bright,shining
7460 (瑠): ラピスラズリ | lapis lazuli
5841 (塁): 拠点,砦,城壁,城壁,野球） | bases,fort,rampart,walls,base(ball)
6D99 (涙): 涙,同情 | tears,sympathy
7D2F (累): 蓄積する,関与,トラブル,タイアップ,絶えず | accumulate,involvement,trouble,tie up,continually
985E (類): ソート,種類,多様,クラス,属 | sort,kind,variety,class,genus
4EE4 (令): 受注,古制,コマンド,法令 | orders,ancient laws,command,decree
4F36 (伶): 俳優 | actor
4F8B (例): 例,カスタム,使用法,先例 | example,custom,usage,precedent
51B7 (冷): クール,冷たい（ビール,人）,チル | cool,cold (beer, person),chill
52B1 (励): 奨励する,勤める,インスパイア | encourage,be diligent,inspire
5DBA (嶺): ピーク,サミット | peak,summit
601C (怜): 賢い | wise
73B2 (玲): 宝石の音 | sound of jewels
793C (礼): 敬礼,弓,式,感謝,報酬 | salute,bow,ceremony,thanks,remuneration
82D3 (苓): 工場,ハーブ,キノコ | plant,herb,mushroom
9234 (鈴): 小さな鐘,ブザー | small bell,buzzer
96B7 (隷): スレーブ,サーバント,囚人,犯罪者,フォロワー | slave,servant,prisoner,criminal,follower
96F6 (零): ゼロ,流出,オーバーフロー,何も,暗号 | zero,spill,overflow,nothing,cipher
970A (霊): スピリッツ,魂 | spirits,soul
9E97 (麗): 美しい,綺麗な,優美な,まばゆい | lovely,beautiful,graceful,resplendent
9F62 (齢): 年齢 | age
66A6 (暦): カレンダー,アルマナック | calendar,almanac
6B74 (歴): カリキュラム,継続,時間が経つ | curriculum,continuation,passage of time
5217 (列): ファイル,行,ランク,層,カラム | file,row,rank,tier,column
52A3 (劣): 劣等,に劣る,悪化する | inferiority,be inferior to,be worse
70C8 (烈): 熱心な,暴力的な,猛烈な,猛烈な,厳しい,極端な | ardent,violent,vehement,furious,severe,extreme
88C2 (裂): スプリット,引き裂く,涙 | split,rend,tear
5EC9 (廉): バーゲン,理由,電荷,疑い,ポイント,アカウント,純度,正直な,低価格,安い,休養,満足しました,穏やかな | bargain,reason,charge,suspicion,point,account,purity,honest,low price,cheap,rested,contented,peaceful
604B (恋): ロマンス,恋愛中,憧れます,ミス,ダーリン | romance,in love,yearn for,miss,darling
6190 (憐): 同情,どうかご慈悲を,同情する,思いやり | pity,have mercy,sympathise,compassion
6F23 (漣): 波紋 | ripples
7149 (煉): 金属を絞り込む,火で混練 | refine metals,kneading over fire
7C3E (簾): 簾,簾 | bamboo screen,rattan blind
7DF4 (練): 練習,光沢,列車,ドリル,研磨,リファイン | practice,gloss,train,drill,polish,refine
806F (聯): パーティー,ギャング,徒党 | party,gang,clique
84EE (蓮): 蓮 | lotus
9023 (連): 連れていく,鉛,参加する,接続する,パーティー,ギャング,徒党 | take along,lead,join,connect,party,gang,clique
932C (錬): 焼き戻し,リファイン,ドリル,列車,研磨 | tempering,refine,drill,train,polish
5442 (呂): 脊椎,背骨 | spine,backbone
9B6F (魯): 愚かな,ロシア | foolish,Russia
6AD3 (櫓): オール,タワー | oar,tower
7089 (炉): 健康,ファーネス,窯,原子炉 | hearth,furnace,kiln,reactor
8CC2 (賂): 賄賂 | bribe
8DEF (路): パス,ルート,道路,距離 | path,route,road,distance
9732 (露): 露,涙,晒す,ロシア | dew,tears,expose,Russia
52B4 (労): 労働,感謝,報酬,労苦,トラブル | labor,thank for,reward for,toil,trouble
5A41 (婁): 頻繁に,ネクタイ | frequently,tie
5ECA (廊): 廊下,ホール,タワー | corridor,hall,tower
5F04 (弄): と遊ぶ,改ざんする,で弄ん | play with,tamper,trifle with
6717 (朗): メロディアス,クリア,鮮やか,穏やかな,陽気な | melodious,clear,bright,serene,cheerful
697C (楼): 望楼,外を見る,高い建物 | watchtower,lookout,high building
6994 (榔): キンマのヤシの木 | betel palm tree
6D6A (浪): 放浪,波浪,大波,無謀,気ままな | wandering,waves,billows,reckless,unrestrained
6F0F (漏): リーク,エスケープ,時間 | leak,escape,time
7262 (牢): 刑務所,刑務所,硬度 | prison,jail,hardness
72FC (狼): 狼 | wolf
7BED (篭): 垂れ篭める,ケージ,コープ,暗黙の | seclude oneself,cage,coop,implied
8001 (老): 老人,老齢,年を取る | old man,old age,grow old
807E (聾): 難聴,ろう者,聾する | deafness,deaf person,deafen
874B (蝋): ワックス | wax
90CE (郎): 息子,息子のためのカウンタ | son,counter for sons
516D (六): 6 | six
9E93 (麓): 山のふもと | foot of a mountain
7984 (禄): 封土,手当,年金,付与,幸福 | fief,allowance,pension,grant,happiness
808B (肋): リブ | rib
9332 (録): 記録 | record
8AD6 (論): 引数,談話 | argument,discourse
502D (倭): ヤマト,倭 | Yamato,ancient Japan
548C (和): 調和,和風,平和,和らげる,日本 | harmony,Japanese style,peace,soften,Japan
8A71 (話): 物語,トーク | tale,talk
6B6A (歪): ワープ,ベンド,緊張しました,歪める | warp,bend,strained,distort
8CC4 (賄): 賄賂,ボード,供給,ファイナンス | bribe,board,supply,finance
8107 (脇): 脇の下,反対に,他の場所,脇腹,サポート役 | armpit,the other way,another place,flank,supporting role
60D1 (惑): 欺く,妄想,当惑 | beguile,delusion,perplexity
67A0 (枠): フレーム,フレームワーク,スピンドル,スプール,バウンディングボックス | frame,framework,spindle,spool,bounding-box,(kokuji)
9DF2 (鷲): 鷲 | eagle
4E99 (亙): 範囲,リーチ,延長する,カバー | range,reach,extend,cover
4E98 (亘): スパン,範囲,広がる | span,range,extend over
9C10 (鰐): アリゲーター,クロコダイル | alligator,crocodile
8A6B (詫): 謝る | apologize
85C1 (藁): ストロー | straw
8568 (蕨): ワラビ,シダの茂み | bracken,fernbrake
6900 (椀): 木製や漆塗りのお椀 | wooden or lacquered bowl
6E7E (湾): 湾,ベイ,インレット | gulf,bay,inlet
7897 (碗): 丼,茶碗 | porcelain bowl,tea cup
8155 (腕): 腕,能力,才能 | arm,ability,talent
5F0C (弌): 1 | one
4E10 (丐): 乞食,頼む,与える | beggar,beg,give
4E15 (丕): 大,すばらしい,壮大な,輝かしい,優れました | large,great,grand,glorious,distinguished
4E2A (个): 記事のためのカウンタ,個人 | counter for articles,individual
4E31 (丱): サワロのような漢字,髪のラッパ状のロック,若い,入札 | saguaro-like kanji,horn-shaped locks of hair,young,tender
4E36 (丶): ドット | dot,tick or dot radical (no. 3)
4E3C (丼): ボウル,食品のボウル | bowl | katakana no radical (no. 4)
4E42 (乂): 刈る,草を刈る,征服する | mow,cut grass,subdue
4E56 (乖): 反対する,背く | oppose,disobey
4E58 (乘): パワー,乗算,記録,車のためのカウンタ | power,multiplication,record,counter for vehicles
4E82 (亂): 戦争,障害,暴動,ディスターブ | war,disorder,riot,disturb
4E85 (亅): 羽のついた棒 | feathered stick,barb radical (no. 6)
8C6B (豫): リラックスしました,快適,安心して | relaxed,comfortable,at ease
4E8A (亊): 事件,問題,ビジネス,機能する,事故,入射 | affair,matter,business,to serve,accident,incident
8212 (舒): ストレッチ,緩む,開いた,リラックス,言及 | stretch,loosen,open,relax,mention
5F0D (弍): 二 | two
4E8E (于): 行き,から | going,from
4E9E (亞): ランク,続く | rank,follow
4E9F (亟): 速い,クイック,突然 | fast,quick | kettle lid radical (no. 8)
4EA2 (亢): 意気揚々 | high spirits
4EB0 (亰): 首都 | capital city
4EB3 (亳): 古代中国の首都 | an ancient Chinese capital
4EB6 (亶): 真に,完全に,心のこもった | truly,wholly,cordial
4ECE (从): 二人 | two people
4ECD (仍): 従って,その結果として | therefore,consequently
4EC4 (仄): 仄めく,示唆する,親密な,かすかな,愚か,ヒント | be seen dimly,suggest,intimate,faint,stupid,hint
4EC6 (仆): 秋,横になる,ベンド | fall,lie down,bend
4EC2 (仂): 余剰または過剰,残り | surplus or excess,remainder
4ED7 (仗): 杖,スティック | cane,stick
4EDE (仞): 尋 | fathom
4EED (仭): 尋 | fathom
4EDF (仟): 千 | thousand
4EF7 (价): 貝漢字を持つ男 | man with shellfish kanji
4F09 (伉): 同種,と比べて | same kind,compare with
4F5A (佚): 失われました,隠す,平和,間違い,綺麗な,順番に | lost,hide,peace,mistake,beautiful,in turn
4F30 (估): 価格,ビジネス,販売 | price,business,selling
4F5B (佛): フランス | France
4F5D (佝): 愚かな,以上の停止 | foolish,stopped over
4F57 (佗): 誇りに思う,寂しい | proud,lonely
4F47 (佇): やめる,リンガー,外観,フィギュア,ベアリング | stop,linger,appearance,figure,bearing
4F76 (佶): 健康,正しい | healthy,correct
4F88 (侈): 贅沢,誇り | luxury,pride
4F8F (侏): 俳優,支柱 | actor,supporting post
4F98 (侘): 誇りに思う,寂しい | proud,lonely
4F7B (佻): 軽薄 | frivolity
4F69 (佩): 着る,（剣を）置く | wear,put on (a sword)
4F70 (佰): 百,100人のリーダー,水田間の東西パス | hundred,leader of 100 men,east-west path between paddies
4F91 (侑): 食べることを促する | urge to eat
4F6F (佯): 装う,装う,偽,うそつきの | pretend,feign,false,deceitful
4F86 (來): 来ます,原因,次,原因,なる | come,due,next,cause,become
4F96 (侖): 考える,整然としたこと | think,be methodical
5118 (儘): そのまま,なぜなら | as it is,because
4FD4 (俔): 比較する,上のスパイ | compare,spy on
4FDF (俟): 待つ,頼る | wait,depend on
4FCE (俎): 俎,まな板 | altar of sacrifice,chopping board
4FD8 (俘): キャプティブ | captive
4FDB (俛): 見下する,勤勉な | look down,diligent
4FD1 (俑): 彫像 | effigy
4FDA (俚): 素朴な,悪いマナー | rustic,ill mannered
4FD0 (俐): 賢い | clever
4FE4 (俤):  | (kokuji)
4FE5 (俥): 人力車,人力車 | jinricksha,rickshaw,(kokuji)
501A (倚): 寄り掛かる,凭る | lean on,rest against
5028 (倨): 誇り,伸ばし足でしゃがん | pride,squatting with legs outstretched
5014 (倔): 頑固な | stubborn
502A (倪): 見詰める | stare
5025 (倥): がさつな,緊急 | boorish,urgent
5005 (倅): 息子,私の息子 | son,my son
4F1C (伜): 息子,私の息子 | son,my son
4FF6 (俶): 開始,良い,エクセル | beginning,good,excel
5021 (倡): 売春婦,俳優 | prostitute,actor
5029 (倩): 慎重に,気配り,深く | carefully,attentively,profoundly
502C (倬): 大,クリア,顕著 | large,clear,remarkable
4FFE (俾): 家庭教師 | tutor
4FEF (俯): かがむ,俯す | bend down,lie prostrate
5011 (們): 複数の接尾辞 | plural suffix
5006 (倆): 技能 | skill
5043 (偃): ダム,堰 | dam,weir
5047 (假): 一時的,暫定的な,偽名）,非公式 | temporary,interim,assumed (name),informal
6703 (會): 大会,パーティー,協会,インタビュー,参加する | meet,party,association,interview,join
5055 (偕): 一緒に | together
5050 (偐): 偽,偽造 | fake,counterfeit
5048 (偈): 仏の賞賛で詩,速い,健康,残り | verse in praise of Buddha,fast,healthy,rest
505A (做): 作る | make
5056 (偖): よく,今 | well,now
506C (偬): 痛みを感じます,苦しむ | feel pain,suffer
5078 (偸): スチール | steal
5080 (傀): 大 | large
509A (傚): 模倣する,続く,エミュレート | imitate,follow,emulate
5085 (傅): 家庭教師 | tutor
50B4 (傴): 腰をかがめる,猫背,弓 | bend over,stoop,bow
50B2 (傲): 誇りに思う | be proud
50C9 (僉): すべて | all
50CA (僊): 隠者 | hermit
50B3 (傳): サモン,伝播する,送信する | summon,propagate,transmit
50C2 (僂): 腰をかがめる | bend over
50D6 (僖): 楽しみ,喜び | enjoyment,pleasure
50DE (僞): うそ,虚偽,欺く,装う | lie,falsehood,deceive,pretend
50E5 (僥): 運,シーク,慾望 | luck,seek,desire
50ED (僭): 鼻高々と奪う | boastfully usurp
50E3 (僣): 鼻高々と奪う | boastfully usurp
50EE (僮): 子,サーバント,愚かさ | child,servant,foolishness
50F9 (價): 価格,値 | price,value
50F5 (僵): 落ちる,崩壊 | fall down,collapse
5109 (儉): 経済,つましい | economy,thrifty
5101 (儁): 優秀,才能のある人 | excellence,talented person
5102 (儂): 私,じぶんの,彼,彼の,私の（古い人々によって使用） | I,my,he,his,me (used by old people)
5116 (儖): 醜い | ugly
5115 (儕): コンパニオン | companion
5114 (儔): コンパニオン,同様の種類 | companion,similar kind
511A (儚): つかの間の,気まぐれな | fleeting,fickle
5121 (儡): 敗北 | defeat
513A (儺): 厄払い | exorcism
5137 (儷): コンパニオン | companion
513C (儼): 深刻,手付かずの,厳かに,厳然と | serious,untouched,solemnly,majestically
513B (儻): エクセル,しのぐ,もし,たぶん | excel,surpass,if | legs radical (no. 10)
5140 (兀): 高＆＃038; レベル,高尚な,はげました,危険な | high &amp; level,lofty,bald,dangerous
5152 (兒): 子,児 | child,young of animals
514C (兌): 交換 | exchange
5154 (兔): ウサギ,野ウサギ | rabbit,hare
5162 (兢): 個別の,注意深い | discreet,careful
7AF8 (竸): コンテスト,レース | contest,race
5169 (兩): 日本の古いコイン,どちらも,車のためのカウンタ,二 | old Japanese coin,both,counter for vehicles,two
516A (兪): スチール | steal
516E (兮): EUPHONYまたは強調のための補助的な単語 | auxiliary word for euphony or emphasis
5180 (冀): 望む,希望,河北省 | hope for,wish | upside-down box radical (no. 13)
56D8 (囘): 円形 | round
518C (册): 冊,ボリューム | counter for books,volume
5189 (冉): 赤,日焼け | red,tan
518F (冏): 光,クリア,鮮やか | light,clear,bright
5191 (冑): ヘルメット | helmet
5193 (冓): まとめる,大奥 | put together | wa-shaped crown radical (no. 14)
51A4 (冤): 冤罪,憎しみ | false charge,hatred
